"","91-04-A132","93-05-6301 SN2","93-05-6301 SP3","93-10-3403 SP3","94-03-1902 SN2","94-04-1903 SP1","94-09-2902 SP1","94-10-P003 SP1","94-11-P036","94-11-V046","95-01-P045","95-04-P093","95-05-G051 SN1","95-05-G051 SP1","95-06-P073","95-07-P004","95-08-P243","95-08-P248","95-08-P250","95-08-P271","95-08-P284","95-08-P358","95-08-P418","95-09-P067","95-09-P113","95-10-P864 SP1","95-11-P018 SP2","95-11-P306 SP1","95-12-A091","95-12-P310 SN1","96-02-P012 SP1","96-02-P046","96-02-P050 SP1","96-02-P067 SP3","96-02-P402 SP1","96-04-P009 SP5","96-04-P017 SP1","96-04-P029 SP1","96-04-P033 SP1","96-06-G032 SP1"
"hsa_miR_542_3p",4.8,481.7,121,125,131.2,96.8,44.6,218.9,53.4,395,173.3,2.8,21.2,80.7,1,79.2,81.6,107.2,41.8,321.9,48.5,224,80.8,69.4,65.6,118.1,85.4,182.5,67.7,181.8,85.7,26.1,53,56.8,8,42.7,24.5,309.1,1,35.4
"ebv_miR_BART9",82.3,126.6,97.7,99.8,99.8,61.6,99.1,174.9,50.8,132.5,173.3,54.1,59.7,65.4,82.8,71.3,140.5,115.3,73.6,125.1,38.2,159.3,108.9,47.4,127.1,88.4,171.5,85,48.9,89.6,68,62.4,81.1,63.6,71.4,113.7,32.2,104.9,23.5,31.7
"hsa_let_7f",52.4,191.2,61.5,74.7,85.9,47.9,59.2,122.1,72.3,108.6,84.4,47.5,83.8,51.4,20.9,55.5,51.1,95,46.4,132.7,60.1,110.8,91,63.9,81.5,42.8,17.3,66.2,65.8,133.7,68,20.5,82.5,48.5,72.7,52.3,79.2,99.5,87.5,107.8
"hsa_miR_548g",2.7,352.6,95.2,117.8,110.3,94.9,38.7,315.6,63.5,347.3,151.9,2.8,20.5,66.7,1,68.2,57.6,99,37.3,276.5,34.3,203.8,75.7,65.7,61,131.7,99.4,160.5,63.9,242,61,24.2,69.9,66.4,20.5,38.6,15.6,260.7,1,31.7
"hsa_miR_302d",1,1,12.4,2.9,1,1,6.6,1,1,1,212.4,192.3,1,1,6.7,1,18.4,1,603.1,1,1,171.4,4.3,1,22.3,108.9,33.4,1,1,1.4,53.9,227.5,1,1,286.5,121.9,1,1,1,1
"hsa_miR_372",1,45.9,170.2,42.4,16.2,8.7,287.9,7.7,1,1,41.7,57.4,1,33.5,1,5,195.1,38.1,398.8,132.7,1,86.5,195.6,8.8,332.1,140.8,654.1,1,15.1,21.4,211.4,213.6,3.8,3.3,167.8,227,1,29.7,1,1
"hsa_miR_100",149.1,102.4,25.3,38.8,33.6,36.1,18.3,69.3,179.8,124.5,31.1,148.4,61.8,74.3,140.6,88.7,18.4,54.4,8.5,94.8,91.1,9.6,6.8,69.4,56.5,26.9,19.3,75.6,103.4,69.5,61,1,85.3,103.4,4.9,7.2,18.8,99.5,43.4,128.9
"hsa_miR_16",102.9,62,61.5,6.4,2.2,42,122.4,69.3,91.3,68.8,13.3,41.7,33.6,65.4,51.3,74.5,46.7,155.9,63,41.9,38.2,122.9,91,34.5,56.5,38.3,97.4,91.3,48.9,13.4,84,53.1,48.8,40.3,165.3,71.4,32.8,40.4,56.2,40
"hsa_miR_20a_hsa_miR_20b",95.2,53.9,1,1,1,69.4,29,78.1,45.8,156.3,52.4,43.8,24.6,60.3,90.4,82.4,79.5,1,60,79.7,1,106.7,119.1,19.8,1,72.5,107.5,1,1,101.6,69.8,28.9,1,45.8,124.9,1,42.4,99.5,49.5,58.3
"hsa_miR_615_5p",1,271.9,84.8,89.1,72,63.5,24.1,192.5,36.9,450.7,137.7,2,5.4,60.3,1,38.2,40.2,111.2,31.2,261.3,40.7,187.6,98.7,41.9,70.1,56.5,35.4,91.3,47,233.9,64.5,17.7,30.5,59.5,3.7,31.8,9.9,164,1,20.7
